"filename", "language", "Markdown", "PHP", "Log", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 0, 4, 0, 0, 0, 4
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 21, 0, 0, 0, -5, 16
"f:\Project\工作文件夹\MiraiTravel\components\exampleComponent\V0.1.1\exampleComponent.php", "PHP", 0, 9, 0, 0, 4, 13
"f:\Project\工作文件夹\MiraiTravel\components\webhook\V0.1.1\webhook.php", "PHP", 0, 0, 0, 5, 0, 5
"f:\Project\工作文件夹\MiraiTravel\core\component.php", "PHP", 0, 2, 0, 1, 6, 9
"f:\Project\工作文件夹\MiraiTravel\core\messageChain.php", "PHP", 0, 26, 0, 7, 4, 37
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\config.php", "PHP", 0, 44, 0, 0, 3, 47
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\qqBot.php", "PHP", 0, -4, 0, 0, -1, -5
"f:\Project\工作文件夹\MiraiTravel\core\qqObj.php", "PHP", 0, 42, 0, 46, 11, 99
"f:\Project\工作文件夹\MiraiTravel\docs\MiraiTravel.md", "Markdown", 24, 0, 0, 0, 11, 35
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot.md", "Markdown", 50, 0, 0, 0, 14, 64
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot\QQBot手册.md", "Markdown", 47, 0, 0, 0, 15, 62
"f:\Project\工作文件夹\MiraiTravel\docs\System.md", "Markdown", 8, 0, 0, 0, 4, 12
"f:\Project\工作文件夹\MiraiTravel\docs\System\开放对象.md", "Markdown", 3, 0, 0, 0, 5, 8
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\Script.log", "Log", 0, 0, 91, 0, 0, 91
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\sendMessage.log", "Log", 0, 0, 27, 0, 26, 53
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\webhook.log", "Log", 0, 0, 49, 0, 0, 49
"f:\Project\工作文件夹\MiraiTravel\logs\httpAdapter.log", "Log", 0, 0, 72, 0, -1, 71
"f:\Project\工作文件夹\MiraiTravel\logs\miraiApiHttp.log", "Log", 0, 0, 52, 0, 0, 52
"f:\Project\工作文件夹\MiraiTravel\logs\miraiTravel.log", "Log", 0, 0, 2, 0, 0, 2
"f:\Project\工作文件夹\MiraiTravel\logs\webhook.log", "Log", 0, 0, 48, 0, 0, 48
"f:\Project\工作文件夹\MiraiTravel\script\Q2771717841.php", "PHP", 0, 114, 0, 1, 7, 122
"Total", "-", 153, 237, 341, 60, 103, 894